"","log2FoldChange","padj","Factor"
"KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05763.1",4.25412513883483,8.84802992906813e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05771.1",3.07164430599145,4.19788849845412e-07,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05809.1",21.4789595887348,3.35624987165656e-11,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05834.1",2.17816159734919,0.00191235448163662,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05835.1",-1.30983797531671,0.00112010869896172,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05877.1",1.84175785652711,0.00745533321202915,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05944.1",-2.48624957206944,2.44887669192078e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05958.1",2.69562369247943,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05973.1",3.06305383652049,1.48347475562982e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05981.1",-1.17552996085715,0.00060767017795591,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05985.1",3.74602999410244,4.84295956955943e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05996.1",1.70793396359418,0.00970075769966125,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05997.1",-1.49247014990465,0.00233323165146957,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06011.1",3.45387506830437,0.000133421495078992,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06049.1",1.22414629512921,8.10723839335382e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06051.1",1.81243137296248,0.00560788991565836,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06076.1",1.02631222877037,0.000469814007873274,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06106.1",1.71100415046224,0.000768132044148108,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06110.1",1.68871924334656,0.000266473830618041,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06146.1",-1.28135046953389,0.00070107811518866,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06169.1",2.3137540638755,0.00131905405672451,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06186.1",-1.00516849764842,0.00672562420364389,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06231.1",-2.2895351278974,1.90676413051092e-06,"Vibrio_Vibrio_vs_NoVibrio"
