"","id","ko"
"246","ko04621","K02406"
"247","ko04621","K12807"
"248","ko04621","K12805"
"249","ko04621","K06068"
"250","ko04621","K20897"
"251","ko04621","K20898"
"252","ko04621","K12966"
"253","ko04621","K20914"
"254","ko04621","K20915"
"255","ko04621","K20916"
"256","ko04621","K04513"
"257","ko04621","K20899"
"258","ko04621","K04395"
"259","ko04621","K04394"
"260","ko04621","K20917"
"261","ko04621","K05130"
"262","ko04621","K05131"
"263","ko04621","K11217"
"264","ko04621","K11219"
"265","ko04621","K11220"
"266","ko04621","K11221"
"267","ko04621","K04693"
"268","ko04621","K10160"
"269","ko04621","K05842"
"270","ko04621","K04729"
"271","ko04621","K04733"
"272","ko04621","K12654"
"273","ko04621","K08727"
"274","ko04621","K08846"
"275","ko04621","K07210"
"276","ko04621","K04467"
"277","ko04621","K07209"
"278","ko04621","K02581"
"279","ko04621","K04734"
"280","ko04621","K02580"
"281","ko04621","K04735"
"282","ko04621","K04519"
"283","ko04621","K05482"
"284","ko04621","K05405"
"285","ko04621","K03156"
"286","ko04621","K10030"
"287","ko04621","K05505"
"288","ko04621","K14624"
"289","ko04621","K12499"
"290","ko04621","K13916"
"291","ko04621","K10165"
"292","ko04621","K04427"
"293","ko04621","K04403"
"294","ko04621","K04404"
"295","ko04621","K12793"
"296","ko04621","K04371"
"297","ko04621","K04440"
"298","ko04621","K04441"
"299","ko04621","K04448"
"300","ko04621","K17890"
"301","ko04621","K08339"
"302","ko04621","K08336"
"303","ko04621","K08341"
"304","ko04621","K12795"
"305","ko04621","K20894"
"306","ko04621","K10630"
"307","ko04621","K11974"
"308","ko04621","K04725"
"309","ko04621","K12797"
"310","ko04621","K12792"
"311","ko04621","K12796"
"312","ko04621","K16060"
"313","ko04621","K03173"
"314","ko04621","K09849"
"315","ko04621","K03175"
"316","ko04621","K12794"
"317","ko04621","K11859"
"318","ko04621","K12648"
"319","ko04621","K03174"
"320","ko04621","K05410"
"321","ko04621","K07211"
"322","ko04621","K12650"
"323","ko04621","K05411"
"324","ko04621","K09447"
"325","ko04621","K05414"
"326","ko04621","K05415"
"327","ko04621","K12653"
"328","ko04621","K08645"
"329","ko04621","K11030"
"330","ko04621","K20909"
"331","ko04621","K12798"
"332","ko04621","K12799"
"333","ko04621","K01370"
"334","ko04621","K02161"
"335","ko04621","K04570"
"336","ko04621","K01363"
"337","ko04621","K12800"
"338","ko04621","K03443"
"339","ko04621","K05220"
"340","ko04621","K04977"
"341","ko04621","K04982"
"342","ko04621","K04971"
"343","ko04621","K04612"
"344","ko04621","K04622"
"345","ko04621","K05858"
"346","ko04621","K04958"
"347","ko04621","K04959"
"348","ko04621","K04960"
"349","ko04621","K05862"
"350","ko04621","K15040"
"351","ko04621","K15041"
"352","ko04621","K20858"
"353","ko04621","K14216"
"354","ko04621","K01165"
"355","ko04621","K17820"
"356","ko04621","K21356"
"357","ko04621","K06030"
"358","ko04621","K02861"
"359","ko04621","K08847"
"360","ko04621","K17065"
"361","ko04621","K03462"
"362","ko04621","K21421"
"363","ko04621","K08009"
"364","ko04621","K20910"
"365","ko04621","K03671"
"366","ko04621","K20876"
"367","ko04621","K11864"
"368","ko04621","K04079"
"369","ko04621","K12801"
"370","ko04621","K12802"
"371","ko04621","K20911"
"372","ko04621","K12803"
"373","ko04621","K12804"
"374","ko04621","K04398"
"375","ko04621","K02373"
"376","ko04621","K04741"
"377","ko04621","K12806"
"378","ko04621","K20863"
"379","ko04621","K20864"
"380","ko04621","K08598"
"381","ko04621","K20865"
"382","ko04621","K02406"
"383","ko04621","K12807"
"384","ko04621","K12805"
"385","ko04621","K06068"
"386","ko04621","K20897"
"387","ko04621","K20898"
"388","ko04621","K12966"
"389","ko04621","K20914"
"390","ko04621","K20915"
"391","ko04621","K20916"
"392","ko04621","K04513"
"393","ko04621","K20899"
"394","ko04621","K04395"
"395","ko04621","K04394"
"396","ko04621","K20917"
"397","ko04621","K05130"
"398","ko04621","K05131"
"399","ko04621","K11217"
"400","ko04621","K11219"
"401","ko04621","K11220"
"402","ko04621","K11221"
"403","ko04621","K04693"
"404","ko04621","K10160"
"405","ko04621","K05842"
"406","ko04621","K04729"
"407","ko04621","K04733"
"408","ko04621","K12654"
"409","ko04621","K08727"
"410","ko04621","K08846"
"411","ko04621","K07210"
"412","ko04621","K04467"
"413","ko04621","K07209"
"414","ko04621","K02581"
"415","ko04621","K04734"
"416","ko04621","K02580"
"417","ko04621","K04735"
"418","ko04621","K04519"
"419","ko04621","K05482"
"420","ko04621","K05405"
"421","ko04621","K03156"
"422","ko04621","K10030"
"423","ko04621","K05505"
"424","ko04621","K14624"
"425","ko04621","K12499"
"426","ko04621","K13916"
"427","ko04621","K10165"
"428","ko04621","K04427"
"429","ko04621","K04403"
"430","ko04621","K04404"
"431","ko04621","K12793"
"432","ko04621","K04371"
"433","ko04621","K04440"
"434","ko04621","K04441"
"435","ko04621","K04448"
"436","ko04621","K17890"
"437","ko04621","K08339"
"438","ko04621","K08336"
"439","ko04621","K08341"
"440","ko04621","K12795"
"441","ko04621","K20894"
"442","ko04621","K10630"
"443","ko04621","K11974"
"444","ko04621","K04725"
"445","ko04621","K12797"
"446","ko04621","K12792"
"447","ko04621","K12796"
"448","ko04621","K16060"
"449","ko04621","K03173"
"450","ko04621","K09849"
"451","ko04621","K03175"
"452","ko04621","K12794"
"453","ko04621","K11859"
"454","ko04621","K12648"
"455","ko04621","K03174"
"456","ko04621","K05410"
"457","ko04621","K07211"
"458","ko04621","K12650"
"459","ko04621","K05411"
"460","ko04621","K09447"
"461","ko04621","K05414"
"462","ko04621","K05415"
"463","ko04621","K12653"
"464","ko04621","K08645"
"465","ko04621","K11030"
"466","ko04621","K20909"
"467","ko04621","K12798"
"468","ko04621","K12799"
"469","ko04621","K01370"
"470","ko04621","K02161"
"471","ko04621","K04570"
"472","ko04621","K01363"
"473","ko04621","K12800"
"474","ko04621","K03443"
"475","ko04621","K05220"
"476","ko04621","K04977"
"477","ko04621","K04982"
"478","ko04621","K04971"
"479","ko04621","K04612"
"480","ko04621","K04622"
"481","ko04621","K05858"
"482","ko04621","K04958"
"483","ko04621","K04959"
"484","ko04621","K04960"
"485","ko04621","K05862"
"486","ko04621","K15040"
"487","ko04621","K15041"
"488","ko04621","K20858"
"489","ko04621","K14216"
"490","ko04621","K01165"
"491","ko04621","K17820"
"492","ko04621","K21356"
"493","ko04621","K06030"
"494","ko04621","K02861"
"495","ko04621","K08847"
"496","ko04621","K17065"
"497","ko04621","K03462"
"498","ko04621","K21421"
"499","ko04621","K08009"
"500","ko04621","K20910"
"501","ko04621","K03671"
"502","ko04621","K20876"
"503","ko04621","K11864"
"504","ko04621","K04079"
"505","ko04621","K12801"
"506","ko04621","K12802"
"507","ko04621","K20911"
"508","ko04621","K12803"
"509","ko04621","K12804"
"510","ko04621","K04398"
"511","ko04621","K02373"
"512","ko04621","K04741"
"513","ko04621","K12806"
"514","ko04621","K20863"
"515","ko04621","K20864"
"516","ko04621","K08598"
"517","ko04621","K20865"
"518","ko04621","K02406"
"519","ko04621","K12807"
"520","ko04621","K12805"
"521","ko04621","K06068"
"522","ko04621","K20897"
"523","ko04621","K20898"
"524","ko04621","K12966"
"525","ko04621","K20914"
"526","ko04621","K20915"
"527","ko04621","K20916"
"528","ko04621","K04513"
"529","ko04621","K20899"
"530","ko04621","K04395"
"531","ko04621","K04394"
"532","ko04621","K20917"
"533","ko04621","K05130"
"534","ko04621","K05131"
"535","ko04621","K11217"
"536","ko04621","K11219"
"537","ko04621","K11220"
"538","ko04621","K11221"
"539","ko04621","K04693"
"540","ko04621","K10160"
"541","ko04621","K05842"
"542","ko04621","K04729"
"543","ko04621","K04733"
"544","ko04621","K12654"
"545","ko04621","K08727"
"546","ko04621","K08846"
"547","ko04621","K07210"
"548","ko04621","K04467"
"549","ko04621","K07209"
"550","ko04621","K02581"
"551","ko04621","K04734"
"552","ko04621","K02580"
"553","ko04621","K04735"
"554","ko04621","K04519"
"555","ko04621","K05482"
"556","ko04621","K05405"
"557","ko04621","K03156"
"558","ko04621","K10030"
"559","ko04621","K05505"
"560","ko04621","K14624"
"561","ko04621","K12499"
"562","ko04621","K13916"
"563","ko04621","K10165"
"564","ko04621","K04427"
"565","ko04621","K04403"
"566","ko04621","K04404"
"567","ko04621","K12793"
"568","ko04621","K04371"
"569","ko04621","K04440"
"570","ko04621","K04441"
"571","ko04621","K04448"
"572","ko04621","K17890"
"573","ko04621","K08339"
"574","ko04621","K08336"
"575","ko04621","K08341"
"576","ko04621","K12795"
"577","ko04621","K20894"
"578","ko04621","K10630"
"579","ko04621","K11974"
"580","ko04621","K04725"
"581","ko04621","K12797"
"582","ko04621","K12792"
"583","ko04621","K12796"
"584","ko04621","K16060"
"585","ko04621","K03173"
"586","ko04621","K09849"
"587","ko04621","K03175"
"588","ko04621","K12794"
"589","ko04621","K11859"
"590","ko04621","K12648"
"591","ko04621","K03174"
"592","ko04621","K05410"
"593","ko04621","K07211"
"594","ko04621","K12650"
"595","ko04621","K05411"
"596","ko04621","K09447"
"597","ko04621","K05414"
"598","ko04621","K05415"
"599","ko04621","K12653"
"600","ko04621","K08645"
"601","ko04621","K11030"
"602","ko04621","K20909"
"603","ko04621","K12798"
"604","ko04621","K12799"
"605","ko04621","K01370"
"606","ko04621","K02161"
"607","ko04621","K04570"
"608","ko04621","K01363"
"609","ko04621","K12800"
"610","ko04621","K03443"
"611","ko04621","K05220"
"612","ko04621","K04977"
"613","ko04621","K04982"
"614","ko04621","K04971"
"615","ko04621","K04612"
"616","ko04621","K04622"
"617","ko04621","K05858"
"618","ko04621","K04958"
"619","ko04621","K04959"
"620","ko04621","K04960"
"621","ko04621","K05862"
"622","ko04621","K15040"
"623","ko04621","K15041"
"624","ko04621","K20858"
"625","ko04621","K14216"
"626","ko04621","K01165"
"627","ko04621","K17820"
"628","ko04621","K21356"
"629","ko04621","K06030"
"630","ko04621","K02861"
"631","ko04621","K08847"
"632","ko04621","K17065"
"633","ko04621","K03462"
"634","ko04621","K21421"
"635","ko04621","K08009"
"636","ko04621","K20910"
"637","ko04621","K03671"
"638","ko04621","K20876"
"639","ko04621","K11864"
"640","ko04621","K04079"
"641","ko04621","K12801"
"642","ko04621","K12802"
"643","ko04621","K20911"
"644","ko04621","K12803"
"645","ko04621","K12804"
"646","ko04621","K04398"
"647","ko04621","K02373"
"648","ko04621","K04741"
"649","ko04621","K12806"
"650","ko04621","K20863"
"651","ko04621","K20864"
"652","ko04621","K08598"
"653","ko04621","K20865"
"654","ko04621","K02406"
"655","ko04621","K12807"
"656","ko04621","K12805"
"657","ko04621","K06068"
"658","ko04621","K20897"
"659","ko04621","K20898"
"660","ko04621","K12966"
"661","ko04621","K20914"
"662","ko04621","K20915"
"663","ko04621","K20916"
"664","ko04621","K04513"
"665","ko04621","K20899"
"666","ko04621","K04395"
"667","ko04621","K04394"
"668","ko04621","K20917"
"669","ko04621","K05130"
"670","ko04621","K05131"
"671","ko04621","K11217"
"672","ko04621","K11219"
"673","ko04621","K11220"
"674","ko04621","K11221"
"675","ko04621","K04693"
"676","ko04621","K10160"
"677","ko04621","K05842"
"678","ko04621","K04729"
"679","ko04621","K04733"
"680","ko04621","K12654"
"681","ko04621","K08727"
"682","ko04621","K08846"
"683","ko04621","K07210"
"684","ko04621","K04467"
"685","ko04621","K07209"
"686","ko04621","K02581"
"687","ko04621","K04734"
"688","ko04621","K02580"
"689","ko04621","K04735"
"690","ko04621","K04519"
"691","ko04621","K05482"
"692","ko04621","K05405"
"693","ko04621","K03156"
"694","ko04621","K10030"
"695","ko04621","K05505"
"696","ko04621","K14624"
"697","ko04621","K12499"
"698","ko04621","K13916"
"699","ko04621","K10165"
"700","ko04621","K04427"
"701","ko04621","K04403"
"702","ko04621","K04404"
"703","ko04621","K12793"
"704","ko04621","K04371"
"705","ko04621","K04440"
"706","ko04621","K04441"
"707","ko04621","K04448"
"708","ko04621","K17890"
"709","ko04621","K08339"
"710","ko04621","K08336"
"711","ko04621","K08341"
"712","ko04621","K12795"
"713","ko04621","K20894"
"714","ko04621","K10630"
"715","ko04621","K11974"
"716","ko04621","K04725"
"717","ko04621","K12797"
"718","ko04621","K12792"
"719","ko04621","K12796"
"720","ko04621","K16060"
"721","ko04621","K03173"
"722","ko04621","K09849"
"723","ko04621","K03175"
"724","ko04621","K12794"
"725","ko04621","K11859"
"726","ko04621","K12648"
"727","ko04621","K03174"
"728","ko04621","K05410"
"729","ko04621","K07211"
"730","ko04621","K12650"
"731","ko04621","K05411"
"732","ko04621","K09447"
"733","ko04621","K05414"
"734","ko04621","K05415"
"735","ko04621","K12653"
