"","log2FoldChange","padj","Factor"
"KXJ07697.1",1.33042728598066,0.0357394890721163,"Menthol_Menthol_vs_NoMenthol"
"KXJ07747.1",0.751158017091127,0.0333788780027381,"Menthol_Menthol_vs_NoMenthol"
"KXJ07756.1",1.45273197866411,0.0350946118419427,"Menthol_Menthol_vs_NoMenthol"
"KXJ07767.1",-0.564684058355877,0.0276943146264706,"Menthol_Menthol_vs_NoMenthol"
"KXJ07843.1",2.04087515589061,0.0334903792364831,"Menthol_Menthol_vs_NoMenthol"
"KXJ07852.1",0.664454647911801,0.0184620357680145,"Menthol_Menthol_vs_NoMenthol"
"KXJ07920.1",-1.10758499234115,0.0418421423228439,"Menthol_Menthol_vs_NoMenthol"
"KXJ07924.1",0.70858926796092,0.00835593319167059,"Menthol_Menthol_vs_NoMenthol"
"KXJ07936.1",2.25182237759062,0.000555535943088315,"Menthol_Menthol_vs_NoMenthol"
"KXJ07953.1",1.84422908314226,0.0414413444074852,"Menthol_Menthol_vs_NoMenthol"
"KXJ07973.1",-1.69610796595692,0.0482680953721956,"Menthol_Menthol_vs_NoMenthol"
"KXJ07976.1",-0.628668498899566,0.00746522663324573,"Menthol_Menthol_vs_NoMenthol"
"KXJ07991.1",0.656766819222795,0.00719987058513698,"Menthol_Menthol_vs_NoMenthol"
"KXJ07992.1",1.54749529966375,0.00770914024830151,"Menthol_Menthol_vs_NoMenthol"
"KXJ07993.1",1.4922004857863,0.0347906762006476,"Menthol_Menthol_vs_NoMenthol"
"KXJ08003.1",-3.45790794050463,0.000112032779788048,"Menthol_Menthol_vs_NoMenthol"
"KXJ08018.1",1.35221779220745,0.0103452231419378,"Menthol_Menthol_vs_NoMenthol"
"KXJ08040.1",1.46588015519256,0.0469641748243095,"Menthol_Menthol_vs_NoMenthol"
"KXJ08063.1",2.76646156915864,0.0166234707681237,"Menthol_Menthol_vs_NoMenthol"
"KXJ08257.1",1.34623327288724,0.0476904827794373,"Menthol_Menthol_vs_NoMenthol"
"KXJ08262.1",-0.59148979417794,0.0214278753406274,"Menthol_Menthol_vs_NoMenthol"
"KXJ08322.1",-0.674912047492808,0.026238836117211,"Menthol_Menthol_vs_NoMenthol"
"KXJ08332.1",2.09113016868884,0.0443972086810984,"Menthol_Menthol_vs_NoMenthol"
"KXJ08351.1",1.36467482201457,0.0322064086314977,"Menthol_Menthol_vs_NoMenthol"
"KXJ08371.1",1.09993284889366,0.00555284846692607,"Menthol_Menthol_vs_NoMenthol"
"KXJ08417.1",1.08904872321155,0.0298563591215633,"Menthol_Menthol_vs_NoMenthol"
"KXJ08451.1",-0.546934008282555,0.0105929475588683,"Menthol_Menthol_vs_NoMenthol"
"KXJ08487.1",-0.463779434376526,0.0191883692971902,"Menthol_Menthol_vs_NoMenthol"
"KXJ08493.1",0.785855062000611,0.00116611285792313,"Menthol_Menthol_vs_NoMenthol"
"KXJ08513.1",2.71546124589252,0.0289017063530142,"Menthol_Menthol_vs_NoMenthol"
"KXJ08560.1",0.597879588281118,0.0109085991173567,"Menthol_Menthol_vs_NoMenthol"
"KXJ08579.1",0.782044875646673,0.0330981860078889,"Menthol_Menthol_vs_NoMenthol"
"KXJ08588.1",1.21534328118713,0.00416108663906036,"Menthol_Menthol_vs_NoMenthol"
"KXJ08614.1",-0.621063857338716,0.0450164087965033,"Menthol_Menthol_vs_NoMenthol"
"KXJ08691.1",-0.702142142961538,0.0118946699674281,"Menthol_Menthol_vs_NoMenthol"
"KXJ08714.1",-0.50401239172885,0.0437396315145053,"Menthol_Menthol_vs_NoMenthol"
"KXJ08764.1",-1.7481803156297,1.58502184362268e-08,"Menthol_Menthol_vs_NoMenthol"
"KXJ08864.1",-0.675167070601782,0.000287819761621202,"Menthol_Menthol_vs_NoMenthol"
"KXJ08873.1",-1.55434923254793,0.00584677614920554,"Menthol_Menthol_vs_NoMenthol"
"KXJ08999.1",1.30835983047282,0.0381019526222432,"Menthol_Menthol_vs_NoMenthol"
"KXJ09039.1",-0.822047799916009,0.000703837276904526,"Menthol_Menthol_vs_NoMenthol"
"KXJ09062.1",0.86000983180144,0.0456536591320433,"Menthol_Menthol_vs_NoMenthol"
"KXJ09063.1",-0.951972685584996,0.00073752012274921,"Menthol_Menthol_vs_NoMenthol"
"KXJ09092.1",0.953980559970759,0.00187713791015716,"Menthol_Menthol_vs_NoMenthol"
"KXJ09093.1",0.581439713873126,0.00977015430857553,"Menthol_Menthol_vs_NoMenthol"
"KXJ09158.1",2.13307282020234,0.0154249342763156,"Menthol_Menthol_vs_NoMenthol"
"KXJ09163.1",1.98119779015453,0.0339088962280309,"Menthol_Menthol_vs_NoMenthol"
"KXJ09164.1",1.33228564405516,0.0181739221374912,"Menthol_Menthol_vs_NoMenthol"
"KXJ09165.1",1.90893137027779,0.00273267808065548,"Menthol_Menthol_vs_NoMenthol"
"KXJ09191.1",1.66961815995429,0.00482940445481529,"Menthol_Menthol_vs_NoMenthol"
"KXJ09195.1",0.770336065806915,0.00921661321078394,"Menthol_Menthol_vs_NoMenthol"
"KXJ09242.1",1.36299877499061,0.0167389041036257,"Menthol_Menthol_vs_NoMenthol"
"KXJ09305.1",-0.451110538081677,0.0474980620013724,"Menthol_Menthol_vs_NoMenthol"
"KXJ09335.1",-0.78452550273019,0.0213356643419336,"Menthol_Menthol_vs_NoMenthol"
"KXJ09363.1",1.06671921476574,0.0476107678328451,"Menthol_Menthol_vs_NoMenthol"
"KXJ09372.1",-1.0352192540825,0.0206767641764394,"Menthol_Menthol_vs_NoMenthol"
"KXJ09377.1",-0.689556053165151,0.0414413444074852,"Menthol_Menthol_vs_NoMenthol"
"KXJ09385.1",-1.14886733055682,0.000951273993378462,"Menthol_Menthol_vs_NoMenthol"
"KXJ09403.1",1.09900144314019,0.0476107678328451,"Menthol_Menthol_vs_NoMenthol"
"KXJ09404.1",1.28715130194055,0.00313598992919603,"Menthol_Menthol_vs_NoMenthol"
"KXJ09405.1",1.47971798626803,0.0171992703400502,"Menthol_Menthol_vs_NoMenthol"
"KXJ09406.1",-0.953135359868974,0.00944461182351494,"Menthol_Menthol_vs_NoMenthol"
"KXJ09411.1",-0.838462193232487,0.01369682638343,"Menthol_Menthol_vs_NoMenthol"
"KXJ09449.1",2.0580671165116,0.00245243642142656,"Menthol_Menthol_vs_NoMenthol"
"KXJ09452.1",1.14479260178446,0.0277725542336676,"Menthol_Menthol_vs_NoMenthol"
"KXJ09491.1",1.63514238587557,0.00814663270097933,"Menthol_Menthol_vs_NoMenthol"
"KXJ09555.1",0.838302969928028,0.048079036981673,"Menthol_Menthol_vs_NoMenthol"
"KXJ09578.1",0.884545763459973,0.0491135453733422,"Menthol_Menthol_vs_NoMenthol"
"KXJ09633.1",1.28554267925789,0.00595308055446691,"Menthol_Menthol_vs_NoMenthol"
"KXJ09671.1",-1.01668489085096,0.00355822894140134,"Menthol_Menthol_vs_NoMenthol"
"KXJ09676.1",-0.646042328852704,0.0130863260796526,"Menthol_Menthol_vs_NoMenthol"
"KXJ09717.1",1.32459261391745,0.00746063817958179,"Menthol_Menthol_vs_NoMenthol"
"KXJ09730.1",-0.910520882299718,0.000287819761621202,"Menthol_Menthol_vs_NoMenthol"
"KXJ09732.1",1.0188678306182,0.0414889467045127,"Menthol_Menthol_vs_NoMenthol"
"KXJ09745.1",0.434061504066055,0.0290500647259748,"Menthol_Menthol_vs_NoMenthol"
"KXJ09783.1",-0.573822647225959,0.00820556068243992,"Menthol_Menthol_vs_NoMenthol"
"KXJ09807.1",2.01729076128834,0.03503682212427,"Menthol_Menthol_vs_NoMenthol"
"KXJ09808.1",1.28254953118685,0.0202453456384262,"Menthol_Menthol_vs_NoMenthol"
"KXJ09812.1",1.31541069082509,0.0436909732676467,"Menthol_Menthol_vs_NoMenthol"
"KXJ09840.1",-0.782573865203326,0.0437955304443653,"Menthol_Menthol_vs_NoMenthol"
