"id","ko"
"ko05205","K12461"
"ko05205","K07293"
"ko05205","K03099"
"ko05205","K01116"
"ko05205","K05859"
"ko05205","K02677"
"ko05205","K19662"
"ko05205","K19663"
"ko05205","K16867"
"ko05205","K05760"
"ko05205","K05725"
"ko05205","K08523"
"ko05205","K08107"
"ko05205","K13769"
"ko05205","K08109"
"ko05205","K00182"
"ko05205","K00312"
"ko05205","K00408"
"ko05205","K00444"
"ko05205","K00445"
"ko05205","K00572"
"ko05205","K00714"
"ko05205","K01064"
"ko05205","K01357"
"ko05205","K01384"
"ko05205","K01558"
"ko05205","K11988"
"ko05205","K11989"
"ko05205","K06225"
"ko05205","K06226"
"ko05205","K06255"
"ko05205","K01365"
"ko05205","K04345"
"ko05205","K04441"
"ko05205","K09543"
"ko05205","K05697"
"ko05132","K04391"
"ko05132","K10160"
"ko05132","K05399"
"ko05132","K04729"
"ko05132","K13285"
"ko05132","K13286"
"ko05132","K13287"
"ko05132","K02406"
"ko05132","K10168"
"ko05132","K12805"
"ko05132","K12799"
"ko05132","K01370"
"ko05132","K13741"
"ko05132","K13085"
"ko05132","K04392"
"ko05132","K04393"
"ko05132","K07863"
"ko05132","K04441"
"ko05132","K04371"
"ko05132","K04440"
"ko05132","K04379"
"ko05132","K04448"
"ko05132","K02580"
"ko05132","K04735"
"ko05132","K05482"
"ko05132","K04519"
"ko05132","K04383"
"ko05132","K05405"
"ko05132","K10030"
"ko05132","K05408"
"ko05132","K12964"
"ko05132","K05505"
"ko05132","K05427"
"ko05132","K05753"
"ko05132","K05748"
"ko05132","K05747"
"ko05132","K05754"
"ko05132","K05755"
"ko05132","K05756"
"ko05132","K05757"
"ko05132","K05758"
"ko05132","K05701"
"ko05132","K05692"
"ko05132","K13284"
"ko05132","K13740"
"ko05132","K08598"
"ko05132","K15343"
"ko05132","K06071"
"ko05132","K04514"
"ko05132","K17388"
"ko05132","K15344"
"ko05132","K15345"
"ko05132","K15346"
"ko05132","K15347"
"ko05132","K15348"
"ko05132","K10407"
"ko05132","K07897"
"ko05132","K07898"
"ko05132","K13883"
"ko05132","K15349"
"ko05132","K15350"
"ko05132","K15351"
"ko05132","K10413"
"ko05132","K10414"
"ko05132","K10415"
"ko05132","K10416"
"ko05132","K15352"
"ko05132","K15353"
"ko05132","K15354"
"ko05132","K05759"
"ko05132","K04437"
"ko05132","K15366"
"ko05132","K04687"
"ko05132","K05132"
"ko05132","K05133"
"ko05132","K13241"
"ko05132","K12266"
"ko05132","K12264"
"ko05132","K12265"
"ko05132","K13771"
"ko05132","K05916"
"ko05132","K03385"
"ko04510","K06236"
"ko04510","K19719"
"ko04510","K06237"
"ko04510","K06238"
"ko04510","K08131"
"ko04510","K05637"
"ko04510","K06240"
"ko04510","K06241"
"ko04510","K05636"
"ko04510","K06243"
"ko04510","K06244"
"ko04510","K06245"
"ko04510","K05635"
"ko04510","K06246"
"ko04510","K06247"
"ko04510","K06248"
"ko04510","K06249"
"ko04510","K16857"
"ko04510","K04659"
"ko04510","K05717"
"ko04510","K06250"
"ko04510","K06251"
"ko04510","K06252"
"ko04510","K03900"
"ko04510","K06253"
"ko04510","K06480"
"ko04510","K06481"
"ko04510","K06476"
"ko04510","K06482"
"ko04510","K06483"
"ko04510","K06484"
"ko04510","K06485"
"ko04510","K06583"
"ko04510","K06584"
"ko04510","K06585"
"ko04510","K06586"
"ko04510","K06587"
"ko04510","K06487"
"ko04510","K05719"
"ko04510","K06493"
"ko04510","K06525"
"ko04510","K06588"
"ko04510","K06589"
"ko04510","K06590"
"ko04510","K06591"
"ko04510","K04359"
"ko04510","K17386"
"ko04510","K05450"
"ko04510","K04357"
"ko04510","K05459"
"ko04510","K05448"
"ko04510","K16858"
"ko04510","K16859"
"ko04510","K05449"
"ko04510","K05460"
"ko04510","K04363"
"ko04510","K05089"
"ko04510","K05087"
"ko04510","K05098"
"ko04510","K04361"
"ko04510","K05096"
"ko04510","K05097"
"ko04510","K05099"
"ko04510","K05083"
"ko04510","K05704"
"ko04510","K05732"
"ko04510","K13709"
"ko04510","K04513"
"ko04510","K05740"
"ko04510","K04514"
"ko04510","K17388"
"ko04510","K10351"
"ko04510","K12753"
"ko04510","K12754"
"ko04510","K12755"
"ko04510","K12756"
"ko04510","K12757"
"ko04510","K12758"
"ko04510","K06269"
"ko04510","K06270"
"ko04510","K12329"
